Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729861625.000524,1.786452,1.747657,129.855105,-0.040024,0.025497,0.997147,0.034326,-0.014244,0.011407,67.443207,33.322327,-146.370911,,,
729861625.00385,1.793947,1.739998,129.856644,-0.031143,0.029648,0.993454,0.034326,-0.014244,0.011407,67.443207,33.322327,-146.370911,,,
729861625.007182,1.799698,1.728062,129.855512,-0.031143,0.029648,0.993454,0.021633,-0.038685,-0.001437,67.443207,33.322327,-146.370911,,,
729861625.010515,1.799698,1.728062,129.855512,-0.031143,0.029648,0.993454,0.021633,-0.038685,-0.001437,67.443207,33.322327,-146.370911,,,
729861625.013879,1.805201,1.716046,129.851696,-0.018494,0.035828,0.991821,0.021633,-0.038685,-0.001437,67.443207,33.322327,-146.370911,,,
729861625.017224,1.808397,1.704327,129.846105,-0.018494,0.035828,0.991821,0.012689,-0.03977,-0.018911,67.443207,33.322327,-146.370911,,,
729861625.020565,1.808397,1.704327,129.846105,-0.018494,0.035828,0.991821,0.012689,-0.03977,-0.018911,67.443207,33.322327,-146.370911,,,
729861625.023858,1.810799,1.692737,129.839382,-0.012863,0.038147,0.992722,0.012689,-0.03977,-0.018911,67.443207,33.322327,-146.370911,,,
729861625.027157,1.809139,1.685106,129.832701,-0.012863,0.038147,0.992722,-0.001497,-0.027904,-0.025008,67.443207,33.322327,-146.370911,,,
729861625.030459,1.809139,1.685106,129.832701,-0.012863,0.038147,0.992722,-0.001497,-0.027904,-0.025008,67.443207,33.322327,-146.370911,,,
729861625.033628,1.805375,1.681214,129.826984,-0.013626,0.039505,0.988174,-0.001497,-0.027904,-0.025008,67.443207,33.322327,-146.370911,,,
729861625.03714,1.797837,1.68312,129.822388,-0.013626,0.039505,0.988174,-0.022975,0.001945,-0.017581,67.511627,33.258957,-146.164215,,,
729861625.04051,1.797837,1.68312,129.822388,-0.013626,0.039505,0.988174,-0.022975,0.001945,-0.017581,67.511627,33.258957,-146.164215,,,
