Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729605357.761797,1.550838,0.782483,33.411139,-0.010773,0.039948,0.972595,-0.032916,0.04078,-0.010724,62.984665,16.475479,-148.594254,,,
729605357.765164,1.53669,0.793185,33.409083,-0.012329,0.045242,0.966415,-0.032916,0.04078,-0.010724,62.984665,16.475479,-148.594254,,,
729605357.768552,1.53669,0.793185,33.409083,-0.012329,0.045242,0.966415,-0.032916,0.04078,-0.010724,62.984665,16.475479,-148.594254,,,
729605357.771787,1.520159,0.801182,33.407949,-0.012329,0.045242,0.966415,-0.069285,0.037717,-0.004321,63.231857,16.396408,-148.567307,,,
729605357.77527,1.497054,0.808831,33.408089,-0.013,0.046524,0.965256,-0.069285,0.037717,-0.004321,63.231857,16.396408,-148.567307,,,
729605357.778488,1.497054,0.808831,33.408089,-0.013,0.046524,0.965256,-0.069285,0.037717,-0.004321,63.231857,16.396408,-148.567307,,,
729605357.781874,1.470491,0.813747,33.408676,-0.013,0.046524,0.965256,-0.098662,0.022931,-0.000461,63.231857,16.396408,-148.567307,,,
729605357.785108,1.43856,0.81762,33.409339,-0.006439,0.046844,0.964615,-0.098662,0.022931,-0.000461,63.231857,16.396408,-148.567307,,,
729605357.788515,1.43856,0.81762,33.409339,-0.006439,0.046844,0.964615,-0.098662,0.022931,-0.000461,63.231857,16.396408,-148.567307,,,
729605357.791832,1.403934,0.821655,33.409933,-0.006439,0.046844,0.964615,-0.125136,0.019132,-0.001002,63.231857,16.396408,-148.567307,,,
729605357.795117,1.365787,0.828866,33.409839,0.005249,0.047882,0.9785,-0.125136,0.019132,-0.001002,63.231857,16.396408,-148.567307,,,
729605357.798511,1.365787,0.828866,33.409839,0.005249,0.047882,0.9785,-0.125136,0.019132,-0.001002,63.231857,16.396408,-148.567307,,,
729605357.801791,1.327286,0.839596,33.409194,0.005249,0.047882,0.9785,-0.135982,0.04278,-0.004739,63.231857,16.396408,-148.567307,,,
