Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729601272.717378,0.654508,-1.17449,-20.611314,0.033066,0.022461,0.998642,-0.03874,-0.025706,-0.017817,69.629974,9.080551,-146.203125,,,
729601272.720754,0.644681,-1.178721,-20.614776,0.033066,0.022461,0.998642,-0.029982,-0.006853,-0.01109,69.629974,9.080551,-146.203125,,,
729601272.724021,0.635049,-1.179716,-20.616911,0.03125,0.019135,1.009232,-0.029982,-0.006853,-0.01109,69.676193,9.117798,-146.191833,,,
729601272.727383,0.635049,-1.179716,-20.616911,0.03125,0.019135,1.009232,-0.029982,-0.006853,-0.01109,69.676193,9.117798,-146.191833,,,
729601272.730726,0.626839,-1.178666,-20.617241,0.03125,0.019135,1.009232,-0.028436,0.009991,0.001402,69.676193,9.117798,-146.191833,,,
729601272.734025,0.618845,-1.177769,-20.61619,0.027374,0.016617,1.009094,-0.028436,0.009991,0.001402,69.676193,9.117798,-146.191833,,,
729601272.737375,0.618845,-1.177769,-20.61619,0.027374,0.016617,1.009094,-0.028436,0.009991,0.001402,69.676193,9.117798,-146.191833,,,
729601272.740708,0.611027,-1.176973,-20.614807,0.027374,0.016617,1.009094,-0.025449,0.00434,0.003735,69.676193,9.117798,-146.191833,,,
729601272.744069,0.603736,-1.176592,-20.613944,0.027832,0.016449,1.002121,-0.025449,0.00434,0.003735,69.676193,9.117798,-146.191833,,,
729601272.747452,0.603736,-1.176592,-20.613944,0.027832,0.016449,1.002121,-0.025449,0.00434,0.003735,69.676193,9.117798,-146.191833,,,
729601272.750718,0.59552,-1.175063,-20.614223,0.027832,0.016449,1.002121,-0.028391,0.009061,-0.00412,69.676193,9.117798,-146.191833,,,
729601272.754024,0.588128,-1.173657,-20.615383,0.026428,0.016922,1.006546,-0.028391,0.009061,-0.00412,69.676193,9.117798,-146.191833,,,
729601272.75737,0.588128,-1.173657,-20.615383,0.026428,0.016922,1.006546,-0.028391,0.009061,-0.00412,69.676193,9.117798,-146.191833,,,
729601272.760717,0.57967,-1.174692,-20.61718,0.026428,0.016922,1.006546,-0.028463,-0.004069,-0.008601,69.676193,9.117798,-146.191833,,,
729601272.764032,0.574383,-1.176564,-20.619573,0.023178,0.012024,1.006805,-0.028463,-0.004069,-0.008601,69.625534,9.270447,-146.200836,,,
729601272.767252,0.574383,-1.176564,-20.619573,0.023178,0.012024,1.006805,-0.028463,-0.004069,-0.008601,69.625534,9.270447,-146.200836,,,
729601272.770811,0.567457,-1.180091,-20.622267,0.023178,0.012024,1.006805,-0.021908,-0.011815,-0.01081,69.625534,9.270447,-146.200836,,,
729601272.774023,0.564975,-1.185729,-20.62522,0.021667,0.008591,1.010437,-0.021908,-0.011815,-0.01081,69.625534,9.270447,-146.200836,,,
729601272.777404,0.564975,-1.185729,-20.62522,0.021667,0.008591,1.010437,-0.021908,-0.011815,-0.01081,69.625534,9.270447,-146.200836,,,
729601272.780734,0.560568,-1.192186,-20.628545,0.021667,0.008591,1.010437,-0.010168,-0.021855,-0.013607,69.625534,9.270447,-146.200836,,,
729601272.784029,0.562791,-1.202827,-20.631636,0.021744,0.004852,1.020523,-0.010168,-0.021855,-0.013607,69.625534,9.270447,-146.200836,,,
729601272.787383,0.562791,-1.202827,-20.631636,0.021744,0.004852,1.020523,-0.010168,-0.021855,-0.013607,69.625534,9.270447,-146.200836,,,
729601272.790713,0.562905,-1.210561,-20.633722,0.021744,0.004852,1.020523,0.00185,-0.02089,-0.00667,69.625534,9.270447,-146.200836,,,
729601272.794069,0.567853,-1.221122,-20.634626,0.017776,0.000656,1.02298,0.00185,-0.02089,-0.00667,69.625534,9.270447,-146.200836,,,
729601272.797439,0.567853,-1.221122,-20.634626,0.017776,0.000656,1.02298,0.00185,-0.02089,-0.00667,69.625534,9.270447,-146.200836,,,
729601272.800692,0.57066,-1.227765,-20.634982,0.017776,0.000656,1.02298,0.009658,-0.019568,-0.002811,69.625534,9.270447,-146.200836,,,
729601272.804024,0.576045,-1.236342,-20.635121,0.018661,0.003693,1.01857,0.009658,-0.019568,-0.002811,69.680893,9.339905,-146.556168,,,
729601272.807369,0.576045,-1.236342,-20.635121,0.018661,0.003693,1.01857,0.009658,-0.019568,-0.002811,69.680893,9.339905,-146.556168,,,
729601272.810737,0.580749,-1.242202,-20.635099,0.018661,0.003693,1.01857,0.019244,-0.017479,-0.001741,69.680893,9.339905,-146.556168,,,
729601272.814031,0.588384,-1.249391,-20.635462,0.026443,0.008347,1.011032,0.019244,-0.017479,-0.001741,69.680893,9.339905,-146.556168,,,
729601272.817392,0.588384,-1.249391,-20.635462,0.026443,0.008347,1.011032,0.019244,-0.017479,-0.001741,69.680893,9.339905,-146.556168,,,
729601272.82076,0.595914,-1.254769,-20.636379,0.026443,0.008347,1.011032,0.029368,-0.015466,-0.005743,69.680893,9.339905,-146.556168,,,
729601272.824007,0.60672,-1.261916,-20.637778,0.031082,0.010452,1.011124,0.029368,-0.015466,-0.005743,69.680893,9.339905,-146.556168,,,
729601272.827406,0.60672,-1.261916,-20.637778,0.031082,0.010452,1.011124,0.029368,-0.015466,-0.005743,69.680893,9.339905,-146.556168,,,
729601272.830702,0.617275,-1.267882,-20.639477,0.031082,0.010452,1.011124,0.039257,-0.020626,-0.007931,69.680893,9.339905,-146.556168,,,
729601272.834019,0.630157,-1.276242,-20.64059,0.028915,0.008438,1.002808,0.039257,-0.020626,-0.007931,69.680893,9.339905,-146.556168,,,
729601272.837359,0.630157,-1.276242,-20.64059,0.028915,0.008438,1.002808,0.039257,-0.020626,-0.007931,69.680893,9.339905,-146.556168,,,
729601272.840713,0.641858,-1.284825,-20.640783,0.028915,0.008438,1.002808,0.04038,-0.029438,-0.001494,69.680893,9.339905,-146.556168,,,
729601272.844066,0.652603,-1.295631,-20.640355,0.024643,0.007156,0.993271,0.04038,-0.029438,-0.001494,69.670578,9.324249,-146.298752,,,
729601272.847455,0.652603,-1.295631,-20.640355,0.024643,0.007156,0.993271,0.04038,-0.029438,-0.001494,69.670578,9.324249,-146.298752,,,
729601272.850714,0.662201,-1.310077,-20.639874,0.024643,0.007156,0.993271,0.030999,-0.053877,-0.000954,69.670578,9.324249,-146.298752,,,
729601272.854026,0.667838,-1.328124,-20.639155,0.025543,0.006866,0.979767,0.030999,-0.053877,-0.000954,69.670578,9.324249,-146.298752,,,
729601272.857373,0.667838,-1.328124,-20.639155,0.025543,0.006866,0.979767,0.030999,-0.053877,-0.000954,69.670578,9.324249,-146.298752,,,
729601272.860735,0.671384,-1.349472,-20.637843,0.025543,0.006866,0.979767,0.008522,-0.075314,0.003647,69.670578,9.324249,-146.298752,,,
729601272.864028,0.66926,-1.371053,-20.636287,0.023819,0.006958,0.969711,0.008522,-0.075314,0.003647,69.670578,9.324249,-146.298752,,,
729601272.867434,0.66926,-1.371053,-20.636287,0.023819,0.006958,0.969711,0.008522,-0.075314,0.003647,69.670578,9.324249,-146.298752,,,
729601272.87075,0.666438,-1.394019,-20.63411,0.023819,0.006958,0.969711,-0.012986,-0.076381,0.008354,69.670578,9.324249,-146.298752,,,
729601272.874019,0.657568,-1.414715,-20.631037,0.028397,0.007477,0.971298,-0.012986,-0.076381,0.008354,69.670578,9.324249,-146.298752,,,
729601272.877527,0.657568,-1.414715,-20.631037,0.028397,0.007477,0.971298,-0.012986,-0.076381,0.008354,69.670578,9.324249,-146.298752,,,
729601272.880724,0.648546,-1.43774,-20.627275,0.028397,0.007477,0.971298,-0.033874,-0.075002,0.013436,69.670578,9.324249,-146.298752,,,
729601272.884061,0.635603,-1.457641,-20.623132,0.029678,0.00618,0.970444,-0.033874,-0.075002,0.013436,69.670578,9.324249,-146.298752,,,
729601272.887373,0.635603,-1.457641,-20.623132,0.029678,0.00618,0.970444,-0.033874,-0.075002,0.013436,69.404205,9.213577,-146.11792,,,
729601272.890711,0.621531,-1.476714,-20.618422,0.029678,0.00618,0.970444,-0.052771,-0.060261,0.017726,69.404205,9.213577,-146.11792,,,
729601272.894067,0.605706,-1.494885,-20.61301,0.031769,0.006104,0.974548,-0.052771,-0.060261,0.017726,69.404205,9.213577,-146.11792,,,
729601272.89736,0.605706,-1.494885,-20.61301,0.031769,0.006104,0.974548,-0.052771,-0.060261,0.017726,69.404205,9.213577,-146.11792,,,
729601272.900723,0.590433,-1.511115,-20.607379,0.031769,0.006104,0.974548,-0.050922,-0.051391,0.019265,69.404205,9.213577,-146.11792,,,
729601272.904029,0.57548,-1.527182,-20.601636,0.036163,0.00737,0.977814,-0.050922,-0.051391,0.019265,69.404205,9.213577,-146.11792,,,
729601272.90745,0.57548,-1.527182,-20.601636,0.036163,0.00737,0.977814,-0.050922,-0.051391,0.019265,69.404205,9.213577,-146.11792,,,
729601272.910726,0.561692,-1.541178,-20.595581,0.036163,0.00737,0.977814,-0.044733,-0.044934,0.021372,69.404205,9.213577,-146.11792,,,
729601272.914031,0.548253,-1.555389,-20.589839,0.038971,0.006927,0.983353,-0.044733,-0.044934,0.021372,69.404205,9.213577,-146.11792,,,
729601272.91738,0.548253,-1.555389,-20.589839,0.038971,0.006927,0.983353,-0.044733,-0.044934,0.021372,69.404205,9.213577,-146.11792,,,
729601272.920777,0.535861,-1.569487,-20.584786,0.038971,0.006927,0.983353,-0.040532,-0.044561,0.016496,69.404205,9.213577,-146.11792,,,
729601272.924014,0.523397,-1.582057,-20.580962,0.037033,0.009308,0.983383,-0.040532,-0.044561,0.016496,69.404205,9.213577,-146.11792,,,
729601272.927387,0.523397,-1.582057,-20.580962,0.037033,0.009308,0.983383,-0.040532,-0.044561,0.016496,69.377426,9.191849,-146.284515,,,
729601272.930716,0.51098,-1.594678,-20.578808,0.037033,0.009308,0.983383,-0.043522,-0.042182,0.004941,69.377426,9.191849,-146.284515,,,
729601272.934017,0.497088,-1.607445,-20.577795,0.037643,0.011032,0.983704,-0.043522,-0.042182,0.004941,69.377426,9.191849,-146.284515,,,
