Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729705737.713779,-2.104373,-2.708952,77.15402,0.041992,-0.039536,0.996033,-0.009356,-0.031895,-0.044867,85.427582,36.549469,-149.731628,,,
729705737.717155,-2.104063,-2.718718,77.141126,0.045898,-0.037689,0.997696,0.002374,-0.02579,-0.047377,85.427582,36.549469,-149.731628,,,
729705737.720534,-2.104063,-2.718718,77.141126,0.045898,-0.037689,0.997696,0.002374,-0.02579,-0.047377,85.427582,36.549469,-149.731628,,,
729705737.723774,-2.103569,-2.724603,77.128405,0.045898,-0.037689,0.997696,0.002374,-0.02579,-0.047377,85.427582,36.549469,-149.731628,,,
729705737.72717,-2.102193,-2.730668,77.11573,0.045898,-0.037689,0.997696,0.002374,-0.02579,-0.047377,85.427582,36.549469,-149.731628,,,
729705737.730457,-2.102193,-2.730668,77.11573,0.047531,-0.039474,0.997955,0.001963,-0.010897,-0.046428,85.427582,36.549469,-149.731628,,,
729705737.733778,-2.101815,-2.732023,77.103961,0.047531,-0.039474,0.997955,0.001963,-0.010897,-0.046428,85.427582,36.549469,-149.731628,,,
729705737.73715,-2.101815,-2.732023,77.093352,0.047531,-0.039474,0.997955,0.001963,-0.010897,-0.046428,85.427582,36.549469,-149.731628,,,
729705737.740449,-2.103166,-2.73331,77.093352,0.049561,-0.040939,0.992111,-0.00976,0.004018,-0.037195,85.427582,36.549469,-149.731628,,,
729705737.74379,-2.105203,-2.729722,77.08408,0.049561,-0.040939,0.992111,-0.00976,0.004018,-0.037195,85.204178,36.422867,-149.543381,,,
729705737.747154,-2.105203,-2.729722,77.076628,0.049561,-0.040939,0.992111,-0.00976,0.004018,-0.037195,85.204178,36.422867,-149.543381,,,
729705737.750431,-2.109892,-2.725364,77.076628,0.050919,-0.0401,0.988922,-0.019313,0.024517,-0.023455,85.204178,36.422867,-149.543381,,,
729705737.753784,-2.114044,-2.715671,77.071148,0.050919,-0.0401,0.988922,-0.019313,0.024517,-0.023455,85.204178,36.422867,-149.543381,,,
729705737.757106,-2.114044,-2.715671,77.071148,0.050919,-0.0401,0.988922,-0.019313,0.024517,-0.023455,85.204178,36.422867,-149.543381,,,
729705737.760558,-2.12069,-2.707905,77.067392,0.057617,-0.037933,0.992157,-0.025129,0.031248,-0.01042,85.204178,36.422867,-149.543381,,,
729705737.763777,-2.127461,-2.69821,77.065622,0.057617,-0.037933,0.992157,-0.025129,0.031248,-0.01042,85.204178,36.422867,-149.543381,,,
729705737.767188,-2.127461,-2.69821,77.064527,0.057617,-0.037933,0.992157,-0.025129,0.031248,-0.01042,85.204178,36.422867,-149.543381,,,
729705737.7704,-2.136445,-2.692196,77.064527,0.058945,-0.032913,0.985764,-0.032432,0.022655,-0.004733,85.204178,36.422867,-149.543381,,,
729705737.773781,-2.146432,-2.684815,77.063018,0.058945,-0.032913,0.985764,-0.032432,0.022655,-0.004733,85.204178,36.422867,-149.543381,,,
729705737.777105,-2.146432,-2.684815,77.063018,0.058945,-0.032913,0.985764,-0.032432,0.022655,-0.004733,85.204178,36.422867,-149.543381,,,
729705737.780453,-2.158182,-2.680248,77.060074,0.059875,-0.027252,0.986115,-0.043229,0.019577,-0.013624,85.204178,36.422867,-149.543381,,,
729705737.783773,-2.172172,-2.674796,77.055054,0.059875,-0.027252,0.986115,-0.043229,0.019577,-0.013624,85.534042,36.368347,-149.434845,,,
729705737.787187,-2.172172,-2.674796,77.055054,0.059875,-0.027252,0.986115,-0.057148,0.000786,-0.028941,85.534042,36.368347,-149.434845,,,
729705737.790451,-2.187414,-2.673967,77.047679,0.060257,-0.026169,0.982025,-0.057148,0.000786,-0.028941,85.534042,36.368347,-149.434845,,,
729705737.793773,-2.204671,-2.675865,77.037798,0.060257,-0.026169,0.982025,-0.057148,0.000786,-0.028941,85.534042,36.368347,-149.434845,,,
729705737.797133,-2.204671,-2.675865,77.037798,0.060257,-0.026169,0.982025,-0.057148,0.000786,-0.028941,85.534042,36.368347,-149.434845,,,
729705737.800514,-2.224156,-2.680902,77.025752,0.061279,-0.024292,0.975067,-0.072937,-0.017674,-0.043222,85.534042,36.368347,-149.434845,,,
729705737.803773,-2.245612,-2.688179,77.012675,0.061279,-0.024292,0.975067,-0.072937,-0.017674,-0.043222,85.534042,36.368347,-149.434845,,,
729705737.807164,-2.245612,-2.688179,77.012675,0.061279,-0.024292,0.975067,-0.072937,-0.017674,-0.043222,85.534042,36.368347,-149.434845,,,
729705737.810435,-2.268618,-2.69723,76.998979,0.057312,-0.02861,0.980728,-0.083081,-0.027885,-0.04692,85.534042,36.368347,-149.434845,,,
729705737.81378,-2.292114,-2.708029,76.984704,0.057312,-0.02861,0.980728,-0.083081,-0.027885,-0.04692,85.534042,36.368347,-149.434845,,,
729705737.817177,-2.292114,-2.708029,76.984704,0.057312,-0.02861,0.980728,-0.083081,-0.027885,-0.04692,85.534042,36.368347,-149.434845,,,
729705737.820441,-2.315027,-2.71969,76.970251,0.059708,-0.030045,0.985657,-0.080094,-0.036899,-0.048511,85.534042,36.368347,-149.434845,,,
729705737.823774,-2.33738,-2.732265,76.955798,0.059708,-0.030045,0.985657,-0.080094,-0.036899,-0.048511,85.534042,36.368347,-149.434845,,,
729705737.827246,-2.33738,-2.732265,76.955798,0.059708,-0.030045,0.985657,-0.080094,-0.036899,-0.048511,85.399307,36.585831,-149.662094,,,
729705737.830431,-2.358202,-2.743565,76.942032,0.058533,-0.034912,0.988831,-0.071832,-0.032507,-0.04428,85.399307,36.585831,-149.662094,,,
729705737.833777,-2.376919,-2.754642,76.929149,0.058533,-0.034912,0.988831,-0.071832,-0.032507,-0.04428,85.399307,36.585831,-149.662094,,,
729705737.83716,-2.376919,-2.754642,76.929149,0.058533,-0.034912,0.988831,-0.071832,-0.032507,-0.04428,85.399307,36.585831,-149.662094,,,
729705737.840537,-2.393769,-2.7627,76.917457,0.050232,-0.039719,0.998154,-0.056854,-0.023408,-0.037156,85.399307,36.585831,-149.662094,,,
729705737.843776,-2.408528,-2.773756,76.906545,0.050232,-0.039719,0.998154,-0.056854,-0.023408,-0.037156,85.399307,36.585831,-149.662094,,,
729705737.847152,-2.408528,-2.773756,76.906545,0.050232,-0.039719,0.998154,-0.056854,-0.023408,-0.037156,85.399307,36.585831,-149.662094,,,
729705737.850443,-2.424796,-2.783875,76.896173,0.048309,-0.043243,0.995621,-0.059473,-0.036622,-0.034,85.399307,36.585831,-149.662094,,,
729705737.853781,-2.438486,-2.799824,76.886544,0.048309,-0.043243,0.995621,-0.059473,-0.036622,-0.034,85.399307,36.585831,-149.662094,,,
729705737.857229,-2.438486,-2.799824,76.886544,0.048309,-0.043243,0.995621,-0.059473,-0.036622,-0.034,85.399307,36.585831,-149.662094,,,
729705737.860481,-2.455774,-2.815199,76.878206,0.038513,-0.046127,0.990234,-0.063406,-0.053116,-0.025684,85.399307,36.585831,-149.662094,,,
729705737.863783,-2.469759,-2.834687,76.870521,0.038513,-0.046127,0.990234,-0.063406,-0.053116,-0.025684,85.399307,36.585831,-149.662094,,,
729705737.867107,-2.469759,-2.834687,76.870521,0.038513,-0.046127,0.990234,-0.063406,-0.053116,-0.025684,85.423859,36.658035,-149.454086,,,
