Time (sec),Pitch (deg),Roll (deg),Yaw(deg),X-Acceleration (g),Y-Acceleration (g),Z-Acceleration (g),Pitch Rate (deg/sec),Roll Rate (deg/sec),Yaw Rate (deg/sec),Magnetic Field in X direction (uT),Magnetic Field in Y direction (uT),Magnetic Field in Z Direction (uT),Latitude (deg),Longitude (deg),Altitude (m)
729705408.046398,-0.974361,-0.570293,75.003606,0.013428,-0.015839,0.995255,0.01883,0.015618,0.017372,86.392471,36.261185,-149.306549,,,
729705408.04971,-0.970844,-0.564891,75.008773,0.013428,-0.015839,0.995255,0.01883,0.015618,0.017372,86.392471,36.261185,-149.306549,,,
729705408.053065,-0.96614,-0.56375,75.012676,0.01033,-0.013168,0.991165,0.011841,0.003634,0.010648,86.392471,36.261185,-149.306549,,,
729705408.05637,-0.96614,-0.56375,75.012676,0.01033,-0.013168,0.991165,0.011841,0.003634,0.010648,86.333176,36.362,-149.175873,,,
729705408.059769,-0.963261,-0.562638,75.015358,0.01033,-0.013168,0.991165,0.011841,0.003634,0.010648,86.333176,36.362,-149.175873,,,
729705408.063041,-0.961018,-0.565682,75.017043,0.007294,-0.01181,0.990326,0.006879,-0.0105,0.003697,86.333176,36.362,-149.175873,,,
729705408.0664,-0.961018,-0.565682,75.017043,0.007294,-0.01181,0.990326,0.006879,-0.0105,0.003697,86.333176,36.362,-149.175873,,,
729705408.069734,-0.961092,-0.56785,75.018349,0.007294,-0.01181,0.990326,0.006879,-0.0105,0.003697,86.333176,36.362,-149.175873,,,
729705408.073023,-0.962374,-0.570668,75.019783,0.003235,-0.013107,0.995224,-0.007717,-0.002549,0.004461,86.333176,36.362,-149.175873,,,
729705408.076469,-0.962374,-0.571208,75.021202,0.003235,-0.013107,0.995224,-0.007717,-0.002549,0.004461,86.333176,36.362,-149.175873,,,
729705408.079766,-0.966931,-0.571208,75.021202,0.003235,-0.013107,0.995224,-0.007717,-0.002549,0.004461,86.333176,36.362,-149.175873,,,
729705408.083017,-0.971658,-0.570808,75.022823,0.000458,-0.015289,0.995239,-0.01994,0.008072,0.006037,86.333176,36.362,-149.175873,,,
729705408.086385,-0.971658,-0.570808,75.022823,0.000458,-0.015289,0.995239,-0.01994,0.008072,0.006037,86.333176,36.362,-149.175873,,,
729705408.089702,-0.978285,-0.569696,75.024757,0.000458,-0.015289,0.995239,-0.01994,0.008072,0.006037,86.333176,36.362,-149.175873,,,
729705408.093111,-0.984377,-0.566456,75.026567,0.003632,-0.017929,0.998917,-0.016892,0.016815,0.004391,86.333176,36.362,-149.175873,,,
729705408.096392,-0.984377,-0.566456,75.026567,0.003632,-0.017929,0.998917,-0.016892,0.016815,0.004391,86.238205,36.588837,-148.833939,,,
729705408.099713,-0.98985,-0.563633,75.028651,0.003632,-0.017929,0.998917,-0.016892,0.016815,0.004391,86.238205,36.588837,-148.833939,,,
729705408.103052,-0.992598,-0.56016,75.031009,0.000916,-0.022781,1.00267,-0.000888,0.012854,0.006318,86.238205,36.588837,-148.833939,,,
729705408.106486,-0.992598,-0.56016,75.031009,0.000916,-0.022781,1.00267,-0.000888,0.012854,0.006318,86.238205,36.588837,-148.833939,,,
729705408.109779,-0.992189,-0.559299,75.033094,0.000916,-0.022781,1.00267,-0.000888,0.012854,0.006318,86.238205,36.588837,-148.833939,,,
729705408.113033,-0.988621,-0.559229,75.034802,0.003174,-0.025803,0.99855,0.020164,-0.003345,0.004018,86.238205,36.588837,-148.833939,,,
729705408.116354,-0.988621,-0.559229,75.034802,0.003174,-0.025803,0.99855,0.020164,-0.003345,0.004018,86.238205,36.588837,-148.833939,,,
729705408.11972,-0.982532,-0.563032,75.036325,0.003174,-0.025803,0.99855,0.020164,-0.003345,0.004018,86.238205,36.588837,-148.833939,,,
729705408.123021,-0.975539,-0.568788,75.038099,0.000702,-0.021774,0.999786,0.026353,-0.024208,0.005725,86.238205,36.588837,-148.833939,,,
729705408.126414,-0.975539,-0.568788,75.038099,0.000702,-0.021774,0.999786,0.026353,-0.024208,0.005725,86.238205,36.588837,-148.833939,,,
729705408.12972,-0.968483,-0.577592,75.040067,0.000702,-0.021774,0.999786,0.026353,-0.024208,0.005725,86.238205,36.588837,-148.833939,,,
729705408.133022,-0.963087,-0.588566,75.041348,0.001541,-0.016968,0.993835,0.016893,-0.04128,0.000153,86.238205,36.588837,-148.833939,,,
729705408.13651,-0.963087,-0.588566,75.041524,0.001541,-0.016968,0.993835,0.016893,-0.04128,0.000153,86.204376,36.461258,-148.849014,,,
729705408.139679,-0.958643,-0.601022,75.041524,0.001541,-0.016968,0.993835,0.016893,-0.04128,0.000153,86.204376,36.461258,-148.849014,,,
729705408.143082,-0.956598,-0.613631,75.041016,0.005554,-0.014267,0.994171,0.002181,-0.033909,-0.003959,86.204376,36.461258,-148.849014,,,
729705408.146343,-0.956598,-0.613631,75.041016,0.005554,-0.014267,0.994171,0.002181,-0.033909,-0.003959,86.204376,36.461258,-148.849014,,,
729705408.149691,-0.955421,-0.623308,75.040275,0.005554,-0.014267,0.994171,0.002181,-0.033909,-0.003959,86.204376,36.461258,-148.849014,,,
729705408.153065,-0.956752,-0.630978,75.039141,0.009476,-0.012283,1.000549,-0.009441,-0.016468,-0.003859,86.204376,36.461258,-148.849014,,,
729705408.156354,-0.956752,-0.630978,75.039141,0.009476,-0.012283,1.000549,-0.009441,-0.016468,-0.003859,86.204376,36.461258,-148.849014,,,
729705408.159756,-0.959307,-0.634524,75.038006,0.009476,-0.012283,1.000549,-0.009441,-0.016468,-0.003859,86.204376,36.461258,-148.849014,,,
729705408.16307,-0.964486,-0.637017,75.037884,0.016998,-0.012863,1.00119,-0.019343,0.002515,0.001737,86.204376,36.461258,-148.849014,,,
729705408.166368,-0.964486,-0.637017,75.037884,0.016998,-0.012863,1.00119,-0.019343,0.002515,0.001737,86.204376,36.461258,-148.849014,,,
729705408.169763,-0.970864,-0.635055,75.03918,0.016998,-0.012863,1.00119,-0.019343,0.002515,0.001737,86.204376,36.461258,-148.849014,,,
729705408.173051,-0.978947,-0.632203,75.041655,0.012421,-0.011139,0.999893,-0.027779,0.021642,0.012823,86.204376,36.461258,-148.849014,,,
729705408.176432,-0.978947,-0.632203,75.041655,0.012421,-0.011139,0.999893,-0.027779,0.021642,0.012823,86.204376,36.461258,-148.849014,,,
729705408.179783,-0.988585,-0.62516,75.045156,0.012421,-0.011139,0.999893,-0.027779,0.021642,0.012823,86.324677,36.238571,-148.875427,,,
729705408.183042,-0.997994,-0.618093,75.049179,0.011307,-0.01123,1.000824,-0.033109,0.028441,0.01149,86.324677,36.238571,-148.875427,,,
729705408.186443,-0.997994,-0.618093,75.049179,0.011307,-0.01123,1.000824,-0.033109,0.028441,0.01149,86.324677,36.238571,-148.875427,,,
729705408.189718,-1.008985,-0.609378,75.053392,0.011307,-0.01123,1.000824,-0.033109,0.028441,0.01149,86.324677,36.238571,-148.875427,,,
729705408.193105,-1.018065,-0.603175,75.057268,0.01239,-0.011459,0.998093,-0.03115,0.019431,0.009192,86.324677,36.238571,-148.875427,,,
729705408.196403,-1.018065,-0.603175,75.057268,0.01239,-0.011459,0.998093,-0.03115,0.019431,0.009192,86.324677,36.238571,-148.875427,,,
729705408.199693,-1.027957,-0.597239,75.060353,0.01239,-0.011459,0.998093,-0.03115,0.019431,0.009192,86.324677,36.238571,-148.875427,,,
729705408.203263,-1.035814,-0.595757,75.062214,0.009125,-0.009583,0.994461,-0.022837,-0.002353,0.002963,86.324677,36.238571,-148.875427,,,
729705408.206392,-1.035814,-0.595757,75.062214,0.009125,-0.009583,0.994461,-0.022837,-0.002353,0.002963,86.324677,36.238571,-148.875427,,,
729705408.209749,-1.042813,-0.596535,75.063621,0.009125,-0.009583,0.994461,-0.022837,-0.002353,0.002963,86.324677,36.238571,-148.875427,,,
729705408.213026,-1.048778,-0.602475,75.064815,0.008118,-0.010391,0.991287,-0.018282,-0.024587,0.001253,86.324677,36.238571,-148.875427,,,
729705408.216451,-1.048778,-0.602475,75.064815,0.008118,-0.010391,0.991287,-0.018282,-0.024587,0.001253,86.324677,36.238571,-148.875427,,,
729705408.21969,-1.053318,-0.609228,75.065754,0.008118,-0.010391,0.991287,-0.018282,-0.024587,0.001253,86.228622,36.351257,-148.956345,,,
729705408.223027,-1.057254,-0.619447,75.067182,0.00621,-0.014908,0.992157,-0.009808,-0.039713,0.006047,86.228622,36.351257,-148.956345,,,
729705408.226403,-1.057254,-0.619447,75.067182,0.00621,-0.014908,0.992157,-0.009808,-0.039713,0.006047,86.228622,36.351257,-148.956345,,,
729705408.229735,-1.059869,-0.631972,75.069074,0.00621,-0.014908,0.992157,-0.009808,-0.039713,0.006047,86.228622,36.351257,-148.956345,,,
729705408.233035,-1.064087,-0.647433,75.071329,0.007431,-0.018875,0.99295,-0.015805,-0.052924,0.005624,86.228622,36.351257,-148.956345,,,
729705408.236662,-1.064087,-0.647433,75.071329,0.007431,-0.018875,0.99295,-0.015805,-0.052924,0.005624,86.228622,36.351257,-148.956345,,,
729705408.239724,-1.068234,-0.663907,75.073901,0.007431,-0.018875,0.99295,-0.015805,-0.052924,0.005624,86.228622,36.351257,-148.956345,,,
729705408.24321,-1.074036,-0.678468,75.07653,0.007828,-0.017227,0.995743,-0.023272,-0.040016,0.006809,86.228622,36.351257,-148.956345,,,
729705408.246399,-1.074036,-0.678468,75.07653,0.007828,-0.017227,0.995743,-0.023272,-0.040016,0.006809,86.228622,36.351257,-148.956345,,,
729705408.249722,-1.079692,-0.691523,75.078979,0.007828,-0.017227,0.995743,-0.023272,-0.040016,0.006809,86.228622,36.351257,-148.956345,,,
729705408.253031,-1.087268,-0.701389,75.081947,0.009872,-0.017151,1.00322,-0.029704,-0.020179,0.0089,86.228622,36.351257,-148.956345,,,
729705408.25636,-1.087268,-0.701389,75.081947,0.009872,-0.017151,1.00322,-0.029704,-0.020179,0.0089,86.228622,36.351257,-148.956345,,,
729705408.25977,-1.093998,-0.707749,75.085789,0.009872,-0.017151,1.00322,-0.029704,-0.020179,0.0089,86.173477,36.426056,-148.761154,,,
729705408.263044,-1.103714,-0.711325,75.090109,0.012711,-0.02005,1.004227,-0.036806,-0.002483,0.015618,86.173477,36.426056,-148.761154,,,
729705408.266364,-1.103714,-0.711325,75.090109,0.012711,-0.02005,1.004227,-0.036806,-0.002483,0.015618,86.173477,36.426056,-148.761154,,,
729705408.269897,-1.112717,-0.712805,75.094837,0.012711,-0.02005,1.004227,-0.036806,-0.002483,0.015618,86.173477,36.426056,-148.761154,,,
729705408.273018,-1.123084,-0.71301,75.100535,0.012863,-0.022552,1.001328,-0.037818,0.003515,0.022836,86.173477,36.426056,-148.761154,,,
729705408.276427,-1.123084,-0.71301,75.100535,0.012863,-0.022552,1.001328,-0.037818,0.003515,0.022836,86.173477,36.426056,-148.761154,,,
729705408.279686,-1.132058,-0.71181,75.106887,0.012863,-0.022552,1.001328,-0.037818,0.003515,0.022836,86.173477,36.426056,-148.761154,,,
729705408.283028,-1.142711,-0.710805,75.113973,0.011017,-0.025299,1.001053,-0.033682,0.00491,0.027076,86.173477,36.426056,-148.761154,,,
729705408.286387,-1.142711,-0.710805,75.113973,0.011017,-0.025299,1.001053,-0.033682,0.00491,0.027076,86.173477,36.426056,-148.761154,,,
729705408.2897,-1.150717,-0.709262,75.121723,0.011017,-0.025299,1.001053,-0.033682,0.00491,0.027076,86.173477,36.426056,-148.761154,,,
